N,P,K,temperature,humidity,ph,rainfall,label,Humidity,Productivity
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,1.447254762,0.424629677
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,69.63704267,0.157866366
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,83.54120314,0.501477209
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,36.77228662,0.983730883
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,100.6944401,0.247724643
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,50.75603202,0.171086051
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,40.59853652,0.967578527
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,2.436868248,0.876880375
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,92.25358771,0.861879808
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,72.25906477,0.333473505
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,5.37948175,0.492001516
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,91.18605749,0.173878756
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,74.37807512,0.895815073
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,53.44802926,0.65580383
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,48.53208583,0.161310997
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,69.34972888,0.394293321
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,28.75719617,0.730127701
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,70.81097587,0.372056184
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,27.87459599,0.197769128
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,77.35962144,0.015039917
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,100.7964946,0.808428207
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,83.00220913,0.615145081
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,20.79933185,0.823967465
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,11.96820838,0.220509025
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,29.26079565,0.737920541
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,69.21875034,0.247174222
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,100.8569699,0.759188007
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,22.85793356,0.063632227
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,59.49458712,0.777502571
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,100.4921733,0.728675299
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,16.07982278,0.567049558
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,70.16986689,0.490710592
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,3.960748059,0.973979954
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,44.40463766,0.726985746
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,98.56445042,0.943763947
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,17.3602848,0.590611123
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,61.37708485,0.936919733
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,17.31755665,0.836377209
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,85.05673514,0.225401447
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,27.3880216,0.329397059
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,23.18300771,0.726057955
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,45.53543291,0.260976239
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,46.67725709,0.03849164
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,76.1177849,0.783194852
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,96.8840956,0.247547076
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,12.45564763,0.931256944
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,85.07966143,0.637813074
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,17.86754804,0.206074745
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,2.81116343,0.723328186
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,96.39501749,0.015383842
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,26.19872661,0.071598836
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,66.48802365,0.358635486
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,45.44624601,0.494263239
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,37.11046206,0.90582365
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,2.892315697,0.067443343
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,85.13666479,0.156587015
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,33.36827188,0.603710644
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,68.75244124,0.985776888
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,52.56493011,0.469992442
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,8.135045097,0.18711775
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,48.05135823,0.954021942
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,5.766476843,0.703351177
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,93.15044973,0.760004615
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,73.53399933,0.459360045
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,87.9053455,0.780928025
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,17.83028906,0.915734231
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,7.865600239,0.553321594
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,60.74067832,0.493507438
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,100.2906956,0.517238592
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,82.50959906,0.077741587
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize,81.04071733,0.429181173
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize,49.95780648,0.696300738
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,61.95594698,0.501218404
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,6.662248032,0.337920001
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,32.82206826,0.659019645
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize,18.54883098,0.864786825
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,48.3514557,0.400547431
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,46.80757448,0.202475655
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,86.86592168,0.010648104
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,92.53292753,0.533580526
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,14.8352521,0.031543296
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,1.00911305,0.819815729
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,56.13186639,0.469950001
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,31.38222873,0.622747787
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,44.90527739,0.788586573
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,47.02150407,0.120877828
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,97.69473203,0.733653256
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize,23.37627494,0.381673831
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,78.7925598,0.285978464
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,39.96577276,0.424585492
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,47.14834568,0.256379276
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,61.09240278,0.090087619
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,57.86088548,0.339896106
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,5.462876945,0.808288938
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,100.407894,0.590084789
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize,23.39427416,0.224839015
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,96.78276813,0.574507898
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize,61.00217837,0.98985608
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,28.55956973,0.291730756
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,44.25182093,0.542949578
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,56.83946006,0.658039255
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,40.69915917,0.442029608
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,3.949636401,0.454807895
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize,7.319156212,0.816000463
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize,25.43189232,0.208766298
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,97.19052004,0.404326463
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,55.0297469,0.275111241
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,76.77100374,0.88849094
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,57.56591919,0.26698824
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,25.58038044,0.749607329
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,71.32648604,0.451528337
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,94.85251195,0.747751353
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,4.637449999,0.237882051
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,83.82154253,0.891946863
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,74.42359233,0.76977335
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize,84.25284582,0.225443697
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,40.8292223,0.804718169
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,62.64774423,0.057849152
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,57.06964288,0.646274248
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize,63.9719009,0.267224846
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize,89.00677909,0.537638126
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,93.28929643,0.553651854
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize,23.40172698,0.059225609
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize,16.2283552,0.087810567
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,50.3611579,0.796225972
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize,88.96630568,0.989263839
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,9.084677453,0.658284984
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,79.13423107,0.438548778
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,96.93870808,0.362069023
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,38.07885598,0.93864084
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize,91.75212482,0.702302415
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,8.496621578,0.311178195
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,79.29812644,0.561333298
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize,10.43402233,0.598754717
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize,78.43173689,0.618393207
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,51.82379701,0.461100334
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize,22.69112781,0.037014903
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,4.247798574,0.943532981
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea,57.88384057,0.031129934
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea,57.51773396,0.537163555
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea,12.92054412,0.146799337
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea,3.798077967,0.265522646
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,chickpea,86.66231,0.235879559
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,chickpea,49.67206385,0.486942448
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea,58.77520416,0.043106434
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea,89.64637933,0.860443118
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea,37.72386707,0.611654682
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea,81.98260045,0.592019695
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea,1.618230713,0.898408798
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea,19.59815946,0.231847297
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea,24.46928041,0.174065302
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea,51.44716101,0.946555201
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea,13.91247519,0.645224053
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea,3.998499807,0.417888002
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea,90.71647137,0.13126155
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea,78.09490402,0.736419893
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea,89.96099489,0.361018678
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea,57.7291527,0.17518081
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea,46.66565367,0.903104326
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,4.486695286,0.242916912
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea,97.74396021,0.602102671
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,chickpea,34.1283577,0.630651754
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,30.04546231,0.01489984
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea,44.97515401,0.964326784
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,chickpea,95.40357125,0.54180322
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea,67.1695438,0.904159329
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea,52.88886739,0.650379366
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea,89.73906934,0.586684359
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea,61.07545905,0.351184123
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea,41.27134061,0.529784139
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea,37.56889,0.297776784
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea,78.45011885,0.627622451
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea,7.856794833,0.721443555
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea,32.81086646,0.70404951
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea,39.15199959,0.043586229
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea,38.54119183,0.363845293
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,chickpea,13.5376887,0.023486309
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea,3.33330365,0.634787336
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea,10.2153289,0.327986671
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,chickpea,7.722290013,0.795901236
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea,73.32129936,0.17604655
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea,77.47202684,0.17137378
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea,76.94133747,0.150343304
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,chickpea,64.97642843,0.297529178
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea,8.542242734,0.154578278
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea,40.20623966,0.254988201
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea,32.11096488,0.761644033
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,chickpea,73.33767481,0.137349184
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea,84.68323649,0.254978646
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea,73.93449582,0.828836433
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,chickpea,17.00871829,0.108694664
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea,6.800240337,0.200746971
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea,6.250644371,0.731343073
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea,45.3760946,0.38245687
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea,83.83691453,0.589493525
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea,93.53784464,0.750653873
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea,94.46969366,0.676276137
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea,5.698625124,0.872377016
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,chickpea,46.88739997,0.340950854
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea,24.51567522,0.428019634
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,chickpea,56.99161753,0.944255924
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,chickpea,9.837338239,0.783098819
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,chickpea,22.74731293,0.677763835
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,chickpea,85.31603524,0.589507013
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,chickpea,8.044892287,0.247124471
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,chickpea,15.61221067,0.113251362
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea,51.37531398,0.010971109
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,chickpea,32.11422434,0.416084045
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea,96.61633955,0.743891814
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea,4.043551631,0.839973725
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,chickpea,17.39868708,0.734137728
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,chickpea,64.28839143,0.122869979
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,chickpea,97.02192855,0.343450617
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,chickpea,69.98321322,0.976411434
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea,73.21653661,0.315877676
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea,31.12456629,0.539804356
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea,62.52266,0.035165757
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,chickpea,19.15213504,0.034815793
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea,34.88360638,0.056831676
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea,77.88730586,0.53788722
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea,23.83212029,0.123433269
45,61,78,19.48649305,16.06240074,6.489389282,81.5284269,chickpea,89.06248991,0.5027343
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea,19.26460179,0.154513508
30,75,81,19.41789736,16.80472243,6.408437886,68.4951189,chickpea,30.50126516,0.097721035
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,chickpea,10.56529821,0.265007034
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea,47.79902905,0.419737772
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,chickpea,42.95787265,0.5912567
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea,40.34981672,0.029758728
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,chickpea,64.287454,0.888200864
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,chickpea,11.51302068,0.499245349
35,63,76,17.81564548,17.60756635,7.714153038,90.82097601,chickpea,36.7382689,0.750587427
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,chickpea,37.8517337,0.274395839
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,chickpea,24.95583167,0.182760003
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,chickpea,36.51342042,0.725004565
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,chickpea,54.83359562,0.888212057
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea,41.77281769,0.29453871
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,chickpea,80.95229347,0.726846781
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans,100.662447,0.67971817
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans,1.856175351,0.990885537
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans,90.36984303,0.599144219
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans,60.2657383,0.236116384
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans,70.90875448,0.336552285
